Team,Value,Value_Change,Debt_Value,Revenue,Operating_Income,Year
Miami Marlins,136,,,76,,2002
Tampa Bay Rays,145,,,91,,2002
Minnesota Twins,148,,,87,,2002
Toronto Blue Jays,166,,,90,,2002
Kansas City Royals,153,,,85,,2002
Washington Nationals,113,,,66,,2002
New York Yankees,832,,,238,,2003
New York Mets,442,,,158,,2003
Boston Red Sox,533,,,190,,2003
Seattle Mariners,396,,,169,,2003
Atlanta Braves,374,,,156,,2003
Los Angeles Dodgers,399,,,154,,2003
Chicago Cubs,358,,,156,,2003
San Francisco Giants,368,,,153,,2003
St. Louis Cardinals,314,,,131,,2003
Baltimore Orioles,296,,,129,,2003
Houston Astros,320,,,128,,2003
Los Angeles Angels,241,,,127,,2003
Cleveland Indians,292,,,127,,2003
Texas Rangers,306,,,127,,2003
Arizona Diamondbacks,276,,,126,,2003
Chicago White Sox,248,,,124,,2003
Colorado Rockies,285,,,124,,2003
Cincinnati Reds,245,,,123,,2003
Detroit Tigers,235,,,117,,2003
Philadelphia Phillies,281,,,115,,2003
Oakland Athletics,186,,,110,,2003
Pittsburgh Pirates,217,,,109,,2003
San Diego Padres,265,,,106,,2003
Milwaukee Brewers,174,,,102,,2003
Miami Marlins,172,,,101,,2003
Tampa Bay Rays,152,,,101,,2003
Minnesota Twins,168,,,99,,2003
Toronto Blue Jays,169,,,99,,2003
Kansas City Royals,171,,,98,,2003
Washington Nationals,145,,,81,,2003
New York Yankees,,,,264,,2004
New York Mets,,,,180,,2004
Boston Red Sox,,,,201,,2004
Seattle Mariners,,,,173,,2004
Atlanta Braves,,,,162,,2004
Los Angeles Dodgers,,,,166,,2004
Chicago Cubs,,,,170,,2004
San Francisco Giants,,,,,,2004
St. Louis Cardinals,,,,,,2004
Baltimore Orioles,,,,,,2004
Houston Astros,,,,,,2004
Los Angeles Angels,,,,,,2004
Cleveland Indians,,,,,,2004
Texas Rangers,,,,,,2004
Arizona Diamondbacks,,,,,,2004
Chicago White Sox,,,,,,2004
Colorado Rockies,,,,,,2004
Cincinnati Reds,,,,,,2004
Detroit Tigers,,,,,,2004
Philadelphia Phillies,,,,,,2004
Oakland Athletics,,,,,,2004
Pittsburgh Pirates,,,,,,2004
San Diego Padres,,,,,,2004
Milwaukee Brewers,,,,,,2004
Miami Marlins,,,,,,2004
Tampa Bay Rays,,,,,,2004
Minnesota Twins,,,,,,2004
Toronto Blue Jays,,,,,,2004
Kansas City Royals,,,,,,2004
Washington Nationals,,,,,,2004
